Mr	James Clappison	William James Clappison	Clappison	mr-james-clappison
Dr	David Clark	David George Clark	Clark	dr-david-clark
Dr	Lynda Clark	Lynda Margaret Clark	Clark	dr-lynda-clark
Dr	Michael Clark	Michael Clark	Clark	dr-michael-clark
Mr	Paul Clark	Paul Gordon Clark	Clark	mr-paul-clark
Mr	Charles Clarke	Charles Rodway Clarke	Clarke	mr-charles-clarke
Mr	Eric Clarke	Eric Lionel Clarke	Clarke	mr-eric-clarke
Mr	Kenneth Clarke	Kenneth Harry Clarke	Clarke	mr-kenneth-clarke
Mr	Tom Clarke	Thomas Clarke	Clarke	mr-tom-clarke
Mr	Tony Clarke	Anthony Richard Clarke	Clarke	mr-tony-clarke
Mr	David Clelland	David Gordon Clelland	Clelland	mr-david-clelland
Mr	Geoffrey Clifton-Brown	Geoffrey Robert Clifton-Brown	Clifton-Brown	mr-geoffrey-clifton-brown
Ms	Ann Clwyd	Ann Clwyd	Clwyd	ms-ann-clwyd
Mr	Vernon Coaker	Vernon Rodney Coaker	Coaker	mr-vernon-coaker
Ms	Ann Coffey	Marilyn Ann Coffey	Coffey	ms-ann-coffey
Mr	Harry Cohen	Harold Michael Cohen	Cohen	mr-harry-cohen
Mr	Iain Coleman	Iain Coleman	Coleman	mr-iain-coleman
Mr	Tim Collins	Timothy William George Collins	Collins	mr-tim-collins
Mr	Tony Colman	Antony John Colman	Colman	mr-tony-colman
Mr	Michael Connarty	Michael Connarty	Connarty	mr-michael-connarty
Mr	Frank Cook	Francis Cook	Cook	mr-frank-cook
Mr	Robin Cook	Robert Finlayson Cook	Cook	mr-robin-cook
Ms	Yvette Cooper	Yvette Cooper	Cooper	ms-yvette-cooper
Mr	Robin Corbett	Robin Corbett	Corbett	mr-robin-corbett
Mr	Jeremy Corbyn	Jeremy Bernard Corbyn	Corbyn	mr-jeremy-corbyn
Sir	Patrick Cormack	Patrick Thomas Cormack	Cormack	sir-patrick-cormack
Ms	Jean Corston	Jean Ann Corston	Corston	ms-jean-corston
Mr	Brian Cotter	Brian Joseph Cotter	Cotter	mr-brian-cotter
Mr	Jim Cousins	James Cousins	Cousins	mr-jim-cousins
Mr	Tom Cox	Thomas Michael Cox	Cox	mr-tom-cox
Mr	James Cran	James Douglas Cran	Cran	mr-james-cran
Professor	Ross Cranston	Ross Frederick Cranston	Cranston	professor-ross-cranston
Mr	David Crausby	David Anthony Crausby	Crausby	mr-david-crausby
Mrs	Ann Cryer	Constance Ann Cryer	Cryer	mrs-ann-cryer
Mr	John Cryer	John Robert Cryer	Cryer	mr-john-cryer
Mr	John Cummings	John Scott Cummings	Cummings	mr-john-cummings
Mr	Lawrence Cunliffe	Lawrence Francis Cunliffe	Cunliffe	mr-lawrence-cunliffe
Dr	Jack Cunningham	John Anderson Cunningham	Cunningham	dr-jack-cunningham
Mr	Jim Cunningham	James Dolan Cunningham	Cunningham	mr-jim-cunningham
Ms	Roseanna Cunningham	 Cunningham	Cunningham	ms-roseanna-cunningham
Mr	David Curry	David Maurice Curry	Curry	mr-david-curry
Ms	Claire Curtis-Thomas	Claire Curtis-Thomas	Curtis-Thomas	ms-claire-curtis-thomas
